ID,Kanji,Onyomi,Kunyomi,Meaning
1153,燕,えん,"つばめ, つばくら, つばくろ",Swallow (bird)
1154,韻,いん,,"Rhyme, Elegance, Tone"
1155,綴,"てい, てつ, てち, げつ","と.じる, つづ.る, つづり, すみ.やか","Compose, Spell, Write, Bind (books)"
1156,埴,しょく,"はに, へな",Clay
1157,霜,そう,しも,Frost
1158,餅,"へい, ひょう","もち, もちい",Mochi Rice Cake
1159,魯,ろ,おろか,"Foolish, Russia"
1160,硝,しょう,,"Nitrate, Saltpeter"
1161,牡,"ぼ, ぼう","おす, お-, おん-",Male
1162,箸,"ちょ, ちゃく",はし,Chopsticks
1163,勅,ちょく,"いまし.める, みことのり",Imperial Order
1164,芹,きん,せり,Parsley
1165,杏,"きょう, あん, こう",あんず,Apricot
1166,迦,"か, け",,(used Phonetically)
1167,棺,かん,,"Coffin, Casket"
1168,儒,じゅ,,Confucian
1169,鳳,"ほう, ふう",,Male Mythical Bird
1170,馨,"けい, きょう","かお.る, かおり","Fragrant, Balmy, Favourable"
1171,斑,はん,"ふ, まだら","Spot, Blemish, Speck, Patches"
1172,蔭,"いん, おん",かげ,"Shade, Shadow, Backing Assistance"
1173,焉,えん,"いずく.んぞ, ここに, これ","How, Why, Then"
1174,慧,"けい, え",さとい,Wise
1175,祇,"ぎ, き, し","くにつかみ, ただ, まさに","National Or Local God, Peaceful, Great"
1176,摯,し,いた.る,"Gift, Seriousness"
1177,愁,しゅう,"うれ.える, うれ.い","Distress, Grieve, Lament, Be Anxious"
1178,鷺,ろ,さぎ,Heron
1179,楼,ろう,たかどの,"Watchtower, Lookout, High Building"
1180,彬,"ひん, ふん","うるわ.しい, あき.らか","Refined, Gentle"
1181,袴,"こ, く","はかま, ずぼん",Men's Formal Divided Skirt
1182,匡,"きょう, おう",すく.う,"Correct, Save, Assist"
1183,眉,"び, み",まゆ,Eyebrow
1184,苅,"がい, かい",か.る,Cutting (grass)
1185,讃,さん,"ほ.める, たた.える","Praise, Title On A Picture"
1186,尹,いん,"おさ, ただ.す",An Official Rank
1187,欽,"きん, こん",つつし.む,"Respect, Revere, Long For"
1188,薪,しん,"たきぎ, まき","Fuel, Firewood, Kindling"
1189,湛,"たん, ちん, じん, せん","しず.む, たた.える","Fill, Wear (a Smile), Clear, Pure, Dense, Deep"
1190,堆,"たい, つい",うずたか.い,Piled High
1191,狐,こ,きつね,Fox
1192,褐,かつ,,"Brown, Woollen Kimono"
1193,鴎,おう,かもめ,Seagull
1194,瀋,しん,,"Juice, Broth"
1195,挺,"ちょう, てい",ぬ.く,"Counter For Guns, Inksticks, Palanquins, Rickshaws, Bravely Volunteer"
1196,賜,し,"たまわ.る, たま.う, たも.う","Grant, Gift, Boon, Results"
1197,嵯,"さ, し",,"Steep, Craggy, Rugged"
1198,雁,がん,"かり, かりがね",Wild Goose
1199,佃,"てん, でん",つくだ,Cultivated Rice Field
1200,綜,そう,"おさ.める, す.べる","Rule, Synthesize"
1201,繕,ぜん,つくろ.う,"Darning, Repair, Mend, Trim, Tidy Up, Adjust"
1202,狛,はく,こま,"Archaic Part Of Korea, Lion-dog Shrine Guards"
1203,壷,こ,つぼ,"Jar, Pot, Hinge Knuckle, One's Aim"
1204,橿,きょう,"かし, もちのき",Oak
1205,栓,せん,,"Plug, Bolt, Cork, Bung, Stopper"
1206,翠,すい,"かわせみ, みどり","Green, Kingfisher"
1207,鮎,"でん, ねん","あゆ, なまず","Freshwater Trout, Smelt"
1208,芯,しん,,Wick
1209,蜜,"みつ, びつ",,"Honey, Nectar, Molasses"
1210,播,"は, ばん, はん",ま.く,"Plant, Sow"
1211,榛,"しん, はん","はしばみ, はり","Hazelnut, Filbert"
1212,凹,おう,"くぼ.む, へこ.む, ぼこ","Concave, Hollow, Sunken"
1213,艶,えん,"つや, なま.めかしい, あで.やか, つや.めく, なま.めく","Glossy, Luster, Glaze, Polish, Charm, Colorful, Captivating"
1214,帖,"ちょう, じょう",かきもの,"Quire (of Paper), Bundle Of Seaweed, Counter For Screens, Notebook"
1215,桶,"よう, とう",おけ,"Tub, Bucket"
1216,惣,そう,すべ.て,All
1217,股,こ,"また, もも","Thigh, Crotch"
1218,匂,,"にお.う, にお.い, にお.わせる","Fragrant, Stink, Glow, Insinuate, (kokuji)"
1219,鞍,あん,くら,Saddle
1220,蔦,ちょう,つた,"Vine, Ivy"
1221,玩,がん,"もちあそ.ぶ, もてあそ.ぶ","Play, Take Pleasure In, Trifle With, Make Sport Of"
1222,萱,けん,"かや, かんぞう",Miscanthus Reed
1223,梯,"てい, たい",はしご,"Ladder, Stairs, Insatiable Drinking"
1224,雫,だ,しずく,"Drop, Trickle, Dripping, (kokuji)"
1225,絆,はん,"きずな, ほだ.す, つな.ぐ","Bonds, Fetters"
1226,錬,れん,ね.る,"Tempering, Refine, Drill, Train, Polish"
1227,湊,そう,"みなと, あつ.まる","Port, Harbor"
1228,蜂,ほう,はち,"Bee, Wasp, Hornet"
1229,隼,"しゅん, じゅん",はやぶさ,Falcon
1230,舵,"だ, た",かじ,"Rudder, Helm, Wheel"
1231,渚,しょ,なぎさ,"Strand, Beach, Shore"
1232,珂,か,,Jewel
1233,煥,かん,あきらか,Shine
1234,衷,ちゅう,,"Inmost, Heart, Mind, Inside"
1235,逐,ちく,,"Pursue, Drive Away, Chase, Accomplish, Attain, Commit"
1236,斥,せき,しりぞ.ける,"Reject, Retreat, Recede, Withdraw, Repel, Repulse"
1237,稀,"き, け","まれ, まばら","Rare, Phenomenal, Dilute (acid)"
1238,癌,がん,,"Cancer, Cancerous Evil"
1239,峨,が,けわ.しい,High Mountain
1240,嘘,"きょ, こ","うそ, ふ.く","Lie, Falsehood"
1241,旛,"へん, はん",はた,Flag
1242,篭,"ろう, る","かご, こ.める, こも.る, こ.む","Seclude Oneself, Cage, Coop, Implied"
1243,芙,ふ,,"Lotus, Mt Fuji"
1244,詔,しょう,みことのり,Imperial Edict
1245,皐,こう,さつき,"Swamp, Shore"
1246,雛,"すう, す, じゅ","ひな, ひよこ","Chick, Squab, Duckling, Doll"
1247,娼,しょう,あそびめ,Prostitute
1248,篆,てん,,Seal-style Characters
1249,鮫,こう,"さめ, みずち",Shark
1250,椅,い,,Chair
1251,惟,"い, ゆい","おも.んみる, これ, おも.うに","Consider, Reflect, Think"
1252,牌,はい,"ぱい, ふだ","Label, Signboard, Medal, Mahjong Tiles"
1253,宕,とう,すぎる,Cave
1254,喧,けん,"やかま.しい, かまびす.しい","Noisy, Boisterous"
1255,佑,"ゆう, う",たす.ける,"Help, Assist"
1256,蒋,"しょう, そう","まこも, はげ.ます",Reed
1257,樟,しょう,くす,Camphor
1258,耀,よう,"かがや.く, ひかり","Shine, Sparkle, Gleam, Twinkle"
1259,黛,たい,まゆずみ,Blackened Eyebrows
1260,叱,"しつ, しち",しか.る,"Scold, Reprove"
1261,櫛,しつ,"くし, くしけず.る",Comb
1262,渥,あく,"あつ.い, うるお.う","Kindness, Moisten"
1263,挨,あい,ひら.く,"Approach, Draw Near, Push Open"
1264,憧,"しょう, とう, どう",あこが.れる,"Yearn After, Long For, Aspire To, Admire, Adore"
1265,濡,"じゅ, にゅ","ぬれ.る, ぬら.す, ぬ.れる, ぬ.らす, うるお.い, うるお.う, うるお.す","Get Wet, Damp, Make Love"
1266,槍,"そう, しょう",やり,"Spear, Lance, Javelin"
1267,宵,しょう,よい,"Wee Hours, Evening, Early Night"
1268,襄,"じょう, しょう",はら.う,"Rise, Raise"
1269,妄,"もう, ぼう",みだ.りに,"Delusion, Unnecessarily, Without Authority, Reckless"
1270,惇,"しゅん, じゅん, とん",あつ.い,"Sincere, Kind, Considerate"
1271,蛋,たん,,"Barbarian, Egg"
1272,脩,しゅう,"おさ.める, なが.い, ほじし",Dried Meat
1273,笘,"せん, ちょう",,"Whip, Cane, Wooden Writing Slate"
1274,宍,"にく, じく",しし,"Muscles, Meat"
1275,甫,"ほ, ふ",はじ.めて,"For The First Time, Not Until"
1276,酌,しゃく,く.む,"Bar-tending, Serving Sake, The Host, Draw (water), Ladle, Scoop, Pump"
1277,蚕,"さん, てん","かいこ, こ",Silkworm
1278,壕,"こう, ごう",ほり,"Trench, Dugout, Air Raid Shelter"
1279,嬉,き,"うれ.しい, たの.しむ","Glad, Pleased, Rejoice"
1280,囃,"さつ, そう","はや.す, はやし","Play (music), Accompany, Beat Time, Banter, Jeer, Applaud"
1281,蒼,そう,あお.い,"Blue, Pale"
1282,餌,"じ, に","え, えば, えさ, もち","Food, Bait, Prey, Tempting Profit"
1283,簗,りょう,やな,"Weir, Fish Trap, (kokuji)"
1284,峙,じ,そばだ.つ,"Tower, Soar"
1285,粥,"いく, しゅく, じゅく","かゆ, かい, ひさ.ぐ",Rice Gruel
1286,舘,かん,"やかた, たて","Mansion, Large Building, Palace"
1287,銕,てつ,くろがね,"Iron, Strong, Solid, Firm"
1288,鄒,"すう, しゅ, しゅう",,Place Name
1289,蜷,けん,にな,An Edible River Snail
1290,暉,き,かが.やく,"Shine, Light"
1291,捧,ほう,ささ.げる,"Lift Up, Give, Offer, Consecrate, Sacrifice, Dedicate"
1292,頒,はん,わか.つ,"Distribute, Disseminate, Partition, Understand"
1293,只,し,ただ,"Only, Free, In Addition"
1294,肢,し,,"Limb, Arms & Legs"
1295,箏,"そう, しょう",こと,A Koto
1296,檀,"だん, たん",まゆみ,"Cedar, Sandlewood, Spindle Tree"
1297,鵠,"こく, こう","くぐい, まと",Swan
1298,凱,"がい, かい","かちどき, やわらぐ",Victory Song
1299,彗,"すい, え, けい, せい",ほうき,Comet
1300,謄,とう,,"Mimeograph, Copy"
1301,諌,かん,"いさ.め, いさ.める","Admonish, Dissuade"
1302,樫,,かし,"Evergreen Oak, (kokuji)"
1303,噂,そん,うわさ,"Rumor, Gossip, Hearsay"
1304,脊,せき,"せ, せい","Stature, Height"
1305,牝,ひん,"めす, め-, めん",Female
1306,梓,し,あずさ,"Catalpa Tree, Woodblock Printing"
1307,洛,らく,,"Kyoto, The Capital"
1308,醍,"だい, たい, てい",,"Whey, Good Buddhist Teaching"
1309,砦,さい,とりで,"Fort, Stronghold, Entrenchments"
1310,丑,ちゅう,うし,"Sign Of The Ox Or Cow, 1-3am, Second Sign Of Chinese Zodiac"
1311,笏,こつ,しゃく,"Mace, Baton, Scepter"
1312,蕨,けつ,わらび,"Bracken, Fernbrake"
1313,噺,,はなし,"Talk, (kokuji)"
1314,抒,"じょ, しょ","く.む, の.べる","Tell, 10**24"
1315,嗣,し,,"Heir, Succeed"
1316,隈,"わい, え","くま, すみ","Corner, Nook, Recess"
1317,叶,きょう,"かな.える, かな.う","Grant, Answer"
1318,凄,"せい, さい","さむ.い, すご.い, すさ.まじい","Uncanny, Weird, Threatening, Horrible"
1319,汐,せき,"しお, うしお, せい","Eventide, Tide, Salt Water, Opportunity"
1320,絢,けん,,Brilliant Fabric Design
1321,叩,こう,"たた.く, はた.く, すぎ","Strike, Beat, Kow Tow, Hit, Thrash, Criticize"
1322,嫉,しつ,"そね.む, ねた.む, にく.む","Jealous, Envy"
1323,朔,さく,ついたち,"Conjunction (astronomy), First Day Of Month, North"
1324,蔡,さい,,Type Of Tortoise Used For Divination
1325,膝,しつ,ひざ,"Knee, Lap"
1326,鍾,"しょう, しゅ","あつ.める, さかずき, かね","Spindle, Gather, Collect"
1327,仇,"きゅう, ぐ","あだ, あた, かたき, つれあい","Foe, Enemy, Revenge, Grudge, Feud"
1328,伽,"か, が, きゃ, ぎゃ",とぎ,"Nursing, Attending, Entertainer"
1329,夷,い,"えびす, えみし, ころ.す, たい.らげる","Barbarian, Savage, Ainu"
1330,恣,し,ほしいまま,"Selfish, Arbitrary"
1331,瞑,"めい, べん, みょう, みん, めん","めい.する, つぶ.る, つむ.る, くら.い","Sleep, Dark, Close Eyes"
1332,畝,"ぼう, ほ, も, む","せ, うね","Furrow, Thirty Tsubo, Ridge, Rib"
1333,抄,しょう,,"Extract, Selection, Summary, Copy, Spread Thin"
1334,杭,こう,くい,"Stake, Post, Picket"
1335,寓,"ぐう, ぐ, どう","ぐう.する, かこつ.ける, よ.せる, よ.る, かりずまい","Temporary Abode, Imply, Suggest"
1336,麺,"めん, べん",むぎこ,"Noodles, Wheat Flour"
1337,戴,たい,いただ.く,"Be Crowned With, Live Under (a Ruler), Receive"
1338,爽,そう,"あき.らか, さわ.やか, たがう","Refreshing, Bracing, Resonant, Sweet, Clear"
1339,裾,"きょ, こ",すそ,"Cuff, Hem, Foot Of Mountain"
1340,黎,"れい, り",くろ.い,"Dark, Black, Many"
1341,惰,だ,,"Lazy, Laziness"
1342,坐,"ざ, さ","すわ.る, おわす, そぞろに, まします",Sit
1343,鍼,しん,"はり, さ.す",Needle
1344,蛮,ばん,えびす,Barbarian
1345,塙,"かく, こう","はなわ, かた.い",Projecting Tableland Or Mountain
1346,冴,"ご, こ","さ.える, こお.る, ひ.える","Be Clear, Serene, Cold, Skilful"
1347,旺,"おう, きょう, ごう","かがや.き, うつくし.い, さかん","Flourishing, Successful, Beautiful, Vigorous"
1348,葦,い,"しお.れる, しな.びる, しぼ.む, な.える","Reed, Bullrush"
1349,礒,"ぎ, が","いそ, いわお","Rock, Beach, Shore"
1350,咸,"かん, げん",,"All, Same"
1351,萌,ほう,"も.える, きざ.す, めばえ, きざ.し","Show Symptoms Of, Sprout, Bud, Malt"
1352,饗,きょう,"う.ける, もてな.す",Banquet
1353,歪,"わい, え","いが.む, いびつ, ひず.む, ゆが.む","Warp, Bend, Strained, Distort"
1354,冥,"めい, みょう",くら.い,Dark
1355,偲,"さい, し",しの.ぶ,"Recollect, Remember"
1356,壱,"いち, いつ",ひとつ,One (in Documents)
1357,瑠,"る, りゅう",,Lapis Lazuli
1358,韮,"きゅう, く",にら,Leek
1359,漕,そう,"こ.ぐ, はこ.ぶ","Rowing, Scull, Paddle"
1360,杵,"しょ, そ",きね,Wooden Pestle
1361,薔,"ば, しょう, しょく, そう",みずたで,Water Pepper
1362,膠,"こう, きょう","にかわ, にべ","Glue, Isinglass"
1363,允,いん,"じょう, まこと.に, ゆるす","License, Sincerity, Permit"
1364,眞,しん,"ま, まこと","Truth, Reality, Buddhist Sect"
1365,蒙,"もう, ぼう","こうむ.る, おお.う, くら.い","Ignorance, Darkness, Get, Receive, Be Subjected To, Sustain, Mongolia"
1366,蕃,"ばん, はん",,Grow Luxuriously
1367,呑,"とん, どん",の.む,Drink
1368,侯,こう,,"Marquis, Lord, Daimyo"
1369,碓,"かく, たい","たし.か, かく.たる",Pestle
1370,茗,"みょう, めい",ちゃ,Tea
1371,麓,ろく,ふもと,Foot Of A Mountain
1372,瀕,ひん,ほとり,"Shore, Brink, Verge"
1373,蒔,"し, じ","う.える, ま.く",Sow (seeds)
1374,鯉,り,こい,Carp
1375,竪,じゅ,"たて, た.てる, こども","Length, Height, Warp"
1376,弧,こ,,"Arc, Arch, Bow"
1377,稽,けい,"かんが.える, とど.める","Think, Consider"
1378,瘤,"りゅう, る",こぶ,"Lump, Swelling"
1379,澤,たく,"さわ, うるお.い, うるお.す, つや",Swamp
1380,溥,"ふ, はく",あまねし,Far And Wide
1381,遥,よう,はる.か,"Far Off, Distant, Long Ago"
1382,蹴,"しゅく, しゅう",け.る,Kick
1383,或,"わく, こく, いき","あ.る, あるい, あるいは","Some, One, Or, Possibly, A Certain"
1384,訃,ふ,しらせ,Obituary
1385,矩,く,"かね, かねざし, さしがね","Ruler, Carpenter's Square"
1386,厦,"か, さ",いえ,House
1387,冤,えん,,"False Charge, Hatred"
1388,剥,"はく, ほく","へ.ぐ, へず.る, む.く, む.ける, は.がれる, は.ぐ, は.げる, は.がす","Come Off, Peel, Fade, Discolor"
1389,舜,しゅん,,"Type Of Morning Glory, Rose Of Sharon, Althea"
1390,侠,きょう,"きゃん, おとこだて","Tomboy, Chivalry"
1391,贅,せい,いぼ,Luxury
1392,杖,じょう,つえ,"Staff, Cane"
1393,蓋,"がい, かい, こう","ふた, けだ.し, おお.う, かさ, かこう","Cover, Lid, Flap"
1394,畏,い,"おそ.れる, かしこま.る, かしこ, かしこ.し","Fear, Majestic, Graciously, Be Apprehensive"
1395,喉,こう,のど,"Throat, Voice"
1396,汪,おう,,"Flowing Full, Expanse Of Water, Wide, Deep"
1397,猷,"ゆう, よう","はかりごと, はか.る","Plan, Scheme, Plot, Way"
1398,瑛,えい,,"Sparkle Of Jewelry, Crystal"
1399,搜,"そう, しゅ, しゅう",さが.す,"Search, Seek, Investigate"
1400,曼,"まん, ばん",なが.い,"Wide, Beautiful"
1401,附,ふ,"つ.ける, つ.く","Affixed, Attach, Refer To, Append"
1402,彪,"ひょう, ひゅう",あや,"Spotted, Mottled, Patterned, Small Tiger"
1403,撚,ねん,"よ.る, よ.れる, より, ひね.る","Twist, Twine, Kinky"
1404,噛,"こう, ごう","か.む, か.じる","Chew, Bite, Gnaw"
1405,卯,"ぼう, もう",う,"Sign Of The Hare Or Rabbit, Fourth Sign Of Chinese Zodiac, 5-7am, East"
1406,桝,,ます,"Measuring Box, (kokuji)"
1407,撫,"ぶ, ふ",な.でる,"Stroke, Pat, Smooth Down"
1408,喋,"ちょう, とう","しゃべ.る, ついば.む","Talk, Chat, Chatter"
1409,但,たん,ただ.し,"However, But"
1410,溢,いつ,"こぼ.れる, あふ.れる, み.ちる","Overflow, Inundate, Spill"
1411,闊,かつ,ひろ.い,Wide
1412,藏,"ぞう, そう","くら, おさ.める, かく.れる","Hide, Own, Have, Possess"
1413,浙,せつ,,Name Of A Chinese River
1414,彭,ほう,,"Swelling, Sound Of Drum"
1415,淘,とう,よな.げる,Select
1416,剃,てい,"まい, そ.る, す.る",Shave
1417,揃,せん,"そろ.える, そろ.う, そろ.い, き.る","Be Complete, Uniform, All Present"
1418,綺,き,あや,"Figured Cloth, Beautiful"
1419,徘,はい,さまよ.う,Wander
1420,巷,こう,ちまた,"Fork In Road, Scene, Arena, Theater"
1421,竿,かん,さお,"Pole, Rod, Scale Beam, Violin Neck"
1422,蟹,かい,かに,Crab
1423,芋,う,いも,Potato
1424,袁,"えん, おん",,Long Kimono
1425,舩,せん,"ふね, ふな-","Boat, Ship, Vessel"
1426,拭,"しょく, しき","ぬぐ.う, ふ.く","Wipe, Mop, Swab"
1427,茜,せん,あかね,"Madder, Red Dye, Turkey Red"
1428,凌,りょう,しの.ぐ,"Endure, Keep (rain)out, Stave Off, Tide Over, Defy, Slight, Surpass"
1429,頬,きょう,"ほお, ほほ","Cheeks, Jaw"
1430,厨,"しゅう, ず, ちゅ, ちゅう",くりや,Kitchen
1431,犀,"さい, せい",,Rhinocerous
1432,簑,"さ, さい",みの,A Coat Raincoat
1433,皓,こう,"しろ.い, ひか.る","White, Clear"
1434,甦,"そ, こう",よみがえ.る,"Be Resuscitated, Revived"
1435,洸,こう,,Sparkling Water
1436,毬,きゅう,"いが, まり","Burr, Ball"
1437,檄,けき,"げき.する, ふれぶみ","Written Appeal, Manifesto"
1438,姚,"よう, ちょう",うつく.しい,Beautiful
1439,蛭,"しつ, ちつ",ひる,Leech
1440,婆,ば,"ばば, ばあ","Old Woman, Grandma, Wet Nurse"
1441,叢,"そう, す","くさむら, むら.がる, むら","Plexus, Clump Of Bushes, Thicket"
1442,椙,,すぎ,"Japanese Cedar, Cryptomeria, (kokuji)"
1443,轟,"ごう, こう","とどろ.かす, とどろ.く","Roar, Thunder, Boom Resound"
1444,贋,がん,にせ,"Counterfeit, Forgery"
1445,洒,"しゃ, そん, さい, せん, せい","すす.ぐ, あら.う","Wash, Sprinkle"
1446,貰,"せい, しゃ",もら.う,"Get, Have, Obtain"
1447,儲,ちょ,"もう.ける, もう.かる, もうけ, たくわ.える","Be Profitable, Yield Profit"
1448,緋,ひ,"あけ, あか","Scarlet, Cardinal"
1449,諜,ちょう,"ちょう.ずる, うかが.う, しめ.す","Spy Out, Reconnoiter"
1450,鯛,ちょう,たい,"Sea Bream, Red Snapper"
1451,蓼,"しん, りく, りょう",たで,"Luxurious Grass, A Smartweed"
1452,甕,おう,"かめ, みか","Jar, Jug, Vat"
1453,喘,"ぜん, せん","あえ.ぐ, せき","Pant, Gasp, Breathe Hard"
1454,怜,"れい, れん, りょう","あわ.れむ, さと.い",Wise
1455,溜,りゅう,"た.まる, たま.る, た.める, したた.る, たまり, ため","Collect, Gather, Be In Arrears"
1456,邑,ゆう,むら,"Village, Rural Community, Right Village Radical (no. 163)"
1457,鉾,"ぼう, む",ほこ,"Halberd, Arms, Festival Float"
1458,倣,ほう,なら.う,"Emulate, Imitate"
1459,碧,"へき, ひゃく",,"Blue, Green"
1460,燈,とう,"ひ, ほ-, ともしび, とも.す, あかり","Lamp, Light, Counter For Lights"
1461,諦,"てい, たい","あきら.める, つまびらか, まこと","Truth, Clarity, Abandon, Give Up"
1462,煎,せん,"せん.じる, い.る, に.る","Broil, Parch, Roast, Boil"
1463,瓜,"か, け",うり,Melon
1464,緻,ち,こまか.い,Fine (i.e. Not Coarse)
1465,哺,ほ,"はぐく.む, ふく.む","Nurse, Suckle"
1466,槌,つい,つち,"Hammer, Mallet"
1467,啄,"たく, つく, とく","ついば.む, つつ.く","Peck, Pick Up"
1468,穣,じょう,"わら, ゆたか","Good Crops, Prosperity, 10**28"
1469,嗜,し,"たしな.む, たしな.み, この.む, この.み","Like, Taste, Modest"
1470,偕,かい,ともに,Together
1471,罵,ば,ののし.る,"Abuse, Insult"
1472,酉,ゆう,とり,"West, Bird, Sign Of The Bird, 5-7pm, Tenth Sign Of Chinese Zodiac, Sake Radical (no. 164)"
1473,蹄,てい,ひづめ,Hoof
1474,頚,けい,くび,"Neck, Head"
1475,胚,はい,"はらみ, はら.む",Embryo
1476,牢,ろう,"かた.い, ひとや","Prison, Jail, Hardness"
1477,糞,ふん,くそ,"Shit, Feces, Excrement"
1478,悌,"てい, だい",,Serving Our Elders
1479,吊,ちょう,"つ.る, つる.す","Suspend, Hang, Wear (sword)"
1480,楕,"だ, た",,Ellipse
1481,鮭,"かい, けい","さけ, しゃけ, ふぐ",Salmon
1482,乞,"こつ, きつ, き, きけ, こち",こ.う,"Beg, Invite, Ask"
1483,倹,けん,"つま.しい, つづまやか","Frugal, Economy, Thrifty"
1484,嗅,きゅう,か.ぐ,"Smell, Sniff, Scent"
1485,詫,た,"わび, わび.しい, かこつ, わ.びる, わび.る",Apologize
1486,鱒,"そん, せん, ざん",ます,Salmon Trout
1487,蔑,べつ,"ないがしろ, なみ.する, くらい, さげす.む","Ignore, Despise, Neglect, Ridicule"
1488,轍,てつ,"わだちい, わだち","Rut, Wheel Track"
1489,醤,しょう,ひしお,A Kind Of Miso
1490,惚,こつ,"ほけ.る, ぼ.ける, ほ.れる","Fall In Love With, Admire, Grow Senile"
1491,廣,こう,"ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる","Broad, Wide, Spacious"
1492,藁,こう,わら,Straw
1493,柚,"ゆ, ゆう, じく",ゆず,Citron
1494,舛,"ぶ, せん","まい, そむ.く",Dancing Radical (no. 136)
1495,縞,こう,"しま, しろぎぬ",Stripe
1496,謳,"おう, う",うた.う,"Extol, Declare, Express"
1497,杞,"こ, き",,River Willow
1498,鱗,りん,"うろこ, こけ, こけら",Scales (fish)
1499,繭,けん,"まゆ, きぬ",Cocoon
1500,釘,"てい, ちょう",くぎ,"Nail, Tack, Peg"
1501,弛,"ち, し","たる.む, たる.める, たゆ.む, ゆる.む, ゆる.み","Slacken, Relax"
1502,狸,"り, らい",たぬき,"Tanuki, Raccoon"
1503,壬,"にん, じん, い",みずのえ,9th Calendar Sign
1504,硯,"けん, げん",すずり,Inkstone
